mode_label,k0_b,neff,source
TE0,10.0,2.2014,user_approximation
TE0,20.0,2.20325,user_approximation
TE0,30.0,2.2045,user_approximation
TE0,40.0,2.2054,user_approximation
TE0,50.0,2.2059,user_approximation
TE0,70.0,2.2066,user_approximation
TE0,90.0,2.20671,user_approximation
TE0,110.0,2.2074,user_approximation
TE0,150.0,2.2078,user_approximation
TE1,20.0,2.2006,user_approximation
TE1,30.0,2.20175,user_approximation
TE1,40.0,2.20275,user_approximation
TE1,50.0,2.2034,user_approximation
TE1,70.0,2.2044,user_approximation
TE1,90.0,2.2051,user_approximation
TE1,110.0,2.20575,user_approximation
TE1,150.0,2.2063,user_approximation
TE2,30.0,2.2005,user_approximation
TE2,40.0,2.2013,user_approximation
TE2,50.0,2.2019,user_approximation
TE2,70.0,2.2030,user_approximation
TE2,90.0,2.2038,user_approximation
TE2,110.0,2.2044,user_approximation
TE2,150.0,2.20525,user_approximation
